행정구역코드,시도명,시군구명,읍면동명,혼잡시간강도,혼잡빈도강도,전체추정교통량,등록차수,교통량,승용차 추정교통량,버스 추정교통량,화물차 추정교통량,주차장혼잡평균
1124057,서울특별시,송파구,방이1동,41.56,19.91,21054,6856,3.070886814,16472,130,4452,20.0529595
1124058,서울특별시,송파구,방이2동,62.81,34.15,16623,7838,2.120821638,13116,94,3413,55.65965732
1124059,서울특별시,송파구,오륜동,46.47,21.19,27373,6680,4.097754491,21330,176,5867,84.7546729
1124060,서울특별시,송파구,오금동,58.73,29.81,12627,13805,0.914668598,9819,58,2750,42.71183801
1124061,서울특별시,송파구,송파1동,91.87,83.08,22030,7725,2.851779935,17424,143,4463,19.59813084
1124062,서울특별시,송파구,송파2동,62.36,44.11,19792,6712,2.94874851,15476,134,4182,76.59034268
1124063,서울특별시,송파구,석촌동,65.81,44.05,9449,9893,0.955119782,7462,46,1941,25.23520249
1124064,서울특별시,송파구,삼전동,40.88,23.32,12437,8827,1.408972471,9587,63,2787,57.85825545
1124065,서울특별시,송파구,가락본동,78.06,56.95,18664,12586,1.482917527,14634,110,3920,73.98364486
1124066,서울특별시,송파구,가락1동,51.32,33.17,20700,11406,1.814834298,16152,140,4408,83.4228972
1124067,서울특별시,송파구,가락2동,62.32,31.93,14059,10758,1.30684142,10840,60,3159,51.99221184
1124068,서울특별시,송파구,문정1동,89.86,76.22,14980,10886,1.376079368,11564,95,3321,47.4953271
1124069,서울특별시,송파구,문정2동,69.56,54.25,35054,14562,2.407224282,28324,523,6207,5.559190031
1124071,서울특별시,송파구,잠실본동,55.86,30.2,13123,8851,1.482657327,10091,70,2962,4.411214953
1124075,서울특별시,송파구,잠실4동,56.69,28.34,17317,10216,1.695086139,13626,96,3595,44.73676012
1124077,서울특별시,송파구,잠실6동,74.37,59.35,32086,12281,2.612653693,25190,349,6547,42.71183801
1124078,서울특별시,송파구,잠실7동,54.32,25.28,22265,3642,6.113399231,17453,139,4673,19.59813084
1124079,서울특별시,송파구,잠실2동,67.12,48,24363,12195,1.997785978,19242,222,4899,76.59034268
1124080,서울특별시,송파구,잠실3동,74.8,55.4,17664,12045,1.466500623,13952,130,3582,25.23520249
1124081,서울특별시,송파구,장지동,87.35,79.75,33572,10964,3.06202116,26291,861,6420,57.85825545
1124082,서울특별시,송파구,위례동,83.29,66.81,30342,15102,2.009137863,24113,580,5649,73.98364486
1125051,서울특별시,강동구,강일동,82.21,70.85,29193,12721,2.294866756,22082,764,6347,83.4228972
1125052,서울특별시,강동구,상일동,79.04,59.97,10742,11210,0.958251561,7840,55,2847,51.99221184
1125053,서울특별시,강동구,명일1동,77.82,56.13,11603,8341,1.391080206,8513,37,3053,47.4953271
1125054,서울특별시,강동구,명일2동,61.91,46.55,6994,5792,1.207527624,4920,18,2056,5.559190031
1125055,서울특별시,강동구,고덕1동,41.81,22.1,12649,8453,1.496391814,9445,41,3163,75.65109034
1125056,서울특별시,강동구,고덕2동,66.89,55.85,33080,7971,4.150043909,24776,733,7571,27.93068536
1125058,서울특별시,강동구,암사2동,60.07,47.5,36136,5015,7.20558325,27226,724,8186,77.73909657
1125059,서울특별시,강동구,암사3동,49.78,38.77,22235,6304,3.527125635,16709,326,5200,15.60124611
1125061,서울특별시,강동구,천호1동,86.66,74.59,8319,8730,0.952920962,6011,25,2283,24.89018692
1125063,서울특별시,강동구,천호3동,96.94,93.23,31734,7608,4.171135647,25099,204,6431,18.23676012
1125065,서울특별시,강동구,성내1동,52.12,24.9,20288,8309,2.441689734,15751,139,4398,27.52725857
1125066,서울특별시,강동구,성내2동,73.55,52.57,12011,6418,1.871455282,9054,57,2900,20.0529595
1125067,서울특별시,강동구,성내3동,60.59,45.2,16281,6976,2.333858945,12448,95,3738,55.65965732
1125070,서울특별시,강동구,둔촌1동,48.73,21.4,36721,545,67.37798165,28898,289,7534,84.7546729
1125071,서울특별시,강동구,둔촌2동,54.4,28.98,13926,7998,1.741185296,10434,66,3426,8.111370717
1125072,서울특별시,강동구,암사1동,68.03,39.04,10201,10427,0.978325501,7442,32,2727,5.989096573
1125073,서울특별시,강동구,천호2동,59.84,42.78,21284,9412,2.261368466,16095,254,4935,14.93302181
1125074,서울특별시,강동구,길동,85.7,73.79,16243,16243,1,12208,81,3954,147.4190031
